HRV_RMSSD;HRV_RMSSD;HRV_RMSSD;IEQ Score;IEQ Score;IEQ Score
High;Low;Medium;High;Low;Medium
1715,9961726011109;;;173,0;;
981,8121181369156;;;137,0;;
;;400,11199323972494;;;161,0
78,43056778639614;;;163,0;;
1978,8991646826864;;;172,0;;
;;1737,327081893258;;;161,0
;1821,936109014258;;;171,0;
;;162,32846922776528;;;166,0
;;1160,3472212538009;;;167,0
;225,199188140074;;;155,0;
;141,4958508181516;;;144,0;
586,5064585813678;;;159,0;;
;;196,2802582238908;;;174,0
;798,9324572497942;;;157,0;
158,65830821238512;;;179,0;;
;;336,37266089087484;;;137,0
1290,6017586104615;;;174,0;;
;290,7325335785781;;;175,0;
;;266,5472330302423;;;159,0
;;798,1914668705863;;;154,0
331,7136826819118;;;178,0;;
2149,0673600110517;;;178,0;;
537,622747210561;;;147,0;;
;310,54078411744;;;171,0;
197,42103315302268;;;175,0;;
;1212,6113114223815;;;88,0;
;1446,301753273516;;;168,0;
;268,9627615706605;;;141,0;
;107,34772793283368;;;164,0;
;;413,692416528628;;;158,0
;;696,5251183298894;;;147,0
;276,1777161168817;;;161,0;
;;1213,780386711756;;;143,0
173,97030883347102;;;161,0;;
