layer_name;HighFi;MediumFi;LowFi
Book;;181,95138747854526;
Book;;;22,93863761977991
Book;;;66,05566188082958
Book;;;29,05903349968139
Book;;56,46820774110529;
Book;;56,46820774110529;
Book;;;66,05566188082958
Book;;;15,549055820825743
Book;54,74523455940107;;
Book;;181,95138747854526;
Book;54,74523455940107;;
Book;;84,6094562113285;
Book;;;29,05903349968139
Book;;84,6094562113285;
Book;22,684668636444258;;
Book;;76,89010193200374;
Book;59,75028465914511;;
Book;59,75028465914511;;
Book;;76,89010193200374;
Book;19,633608005908172;;
Book;19,633608005908172;;
Book;69,22681602213015;;
Book;;;12,354200457644765
Book;69,22681602213015;;
Book;;;12,354200457644765
Book;;;15,549055820825743
Book;;42,092453911962366;
Book;;60,52665012415673;
Book;;43,43118113662058;
Book;;33,431613072694745;
Book;;;57,44298019632697
Book;;37,73736152116908;
Book;;37,73736152116908;
Book;22,684668636444258;;
Book;;33,431613072694745;
Book;;26,693016931196325;
Book;46,555218961977516;;
Book;;;43,997532126901206
Book;46,555218961977516;;
Book;;26,693016931196325;
Book;;60,52665012415673;
Book;;29,806897856396972;
Book;;;22,93863761977991
Book;;114,57922143248288;
Book;;114,57922143248288;
Book;;29,806897856396972;
Book;;;43,997532126901206
Book;30,12632705167198;;
Book;42,39286885104957;;
Book;30,12632705167198;;
Book;42,39286885104957;;
Book;;;20,60407192754792
Book;;43,43118113662058;
Book;;;20,60407192754792
Book;;42,092453911962366;
Book;;;57,44298019632697
Book;;;26,938657208927907
Book;;;93,37079119600821
Book;;;36,468944389387616
Book;;;26,938657208927907
Book;9,899716370302485;;
Book;11,639348247387716;;
Book;;;36,468944389387616
Book;11,639348247387716;;
Book;;;65,20086721382359
Book;22,209988133855404;;
Book;;;38,69742199021857
Book;;51,25064284039399;
Book;52,310859845005325;;
Book;52,310859845005325;;
Book;22,209988133855404;;
Book;59,275294546052464;;
Book;;67,11443871940537;
Book;;51,25064284039399;
Book;9,899716370302485;;
Book;15,470490217656334;;
Book;;;3,8523654007003643
Book;;;99,47818605487555
Book;38,6377356188118;;
Book;;;93,37079119600821
Book;;;65,20086721382359
Book;59,275294546052464;;
Book;;;99,47818605487555
Book;15,470490217656334;;
Book;;;38,69742199021857
Book;;67,11443871940537;
Book;;;3,8523654007003643
Book;;2,5011047029747715;
Book;;2,5011047029747715;
Book;38,6377356188118;;
Bottle;;;90,82502412413305
Bottle;;138,84351347043412;
Bottle;188,03626731754048;;
Bottle;;;46,052133861216134
Bottle;;;57,04405337559729
Bottle;58,59905003673612;;
Bottle;;95,58552304243494;
Bottle;;;84,34818070344045
Bottle;;81,52137861493975;
Bottle;;127,07010446906497;
Bottle;68,17729136019034;;
Bottle;;;380,37084447008965
Bottle;;;112,2754884208639
Bottle;141,00510283360927;;
Bottle;;115,80851211588015;
Bottle;;;48,8519240066089
Bottle;;224,84344653050357;
Bottle;340,12427815893216;;
Bottle;114,33609345899458;;
Bottle;88,94847446969652;;
Bottle;;79,42247982154367;
Bottle;53,77679399312183;;
Bottle;;;45,93974333428196
Bottle;;171,60711175973483;
Bottle;;;90,6047152691608
Bottle;;10,094102786584699;
Bottle;;48,17425779397581;
Bottle;72,32560167506017;;
Bottle;228,32129110619553;;
Bottle;;21,523269201483345;
Bottle;;;58,346513942378806
Bottle;;;135,0673780490033
Bottle;142,14503156622595;;
Bottle;;;148,24719734254177
Bottle;;;115,1982150586864
Bottle;;122,65328398767815;
Bottle;;;161,64929797724471
Bottle;;132,1559307985808;
Bottle;120,90501714710263;;
Bottle;;83,94074901609201;
Bottle;;;189,91395293128153
Bottle;;122,1567065987474;
Bottle;157,64585846134287;;
Bottle;58,09199954522137;;
Bottle;120,1626184820052;;
Car;0,0;;
Car;;;0,0
Car;0,0;;
Car;;;0,0
Car;0,0;;
Car;0,0;;
Car;;;0,0
Car;0,0;;
Car;0,0;;
Car;;;0,0
Car;;0,0;
Car;;0,0;
Car;;;0,0
Car;0,0;;
Car;0,0;;
Car;;;0,0
Car;;0,0;
Car;;0,0;
Car;;0,0;
Car;0,0;;
Car;;0,0;
Car;;0,0;
Car;;0,0;
Car;0,0;;
Car;;;0,0
Car;;;0,0
Car;;0,0;
Car;;;0,0
Car;;;0,0
Car;0,0;;
Car;;0,0;
Car;;;0,0
Car;;0,0;
Car;;;0,0
Car;;0,0;
Car;0,0;;
Car;;0,0;
Car;;;0,0
Car;0,0;;
Car;;;0,0
Car;;0,0;
Car;;0,0;
Car;0,0;;
Car;;;0,0
Car;0,0;;
Customer;;0,0;
Customer;;;0,0
Customer;;;0,0
Customer;;0,0;
Customer;;;0,0
Customer;0,0;;
Customer;0,0;;
Customer;;0,0;
Customer;0,0;;
Customer;;;0,0
Customer;0,0;;
Customer;;0,0;
Customer;;;0,0
Customer;0,0;;
Customer;;0,0;
Customer;;0,0;
Customer;;0,0;
Customer;;0,0;
Customer;0,0;;
Customer;0,0;;
Customer;0,0;;
Customer;;;0,0
Customer;;;0,0
Customer;;;0,0
Customer;;0,0;
Customer;;0,0;
Customer;;;0,0
Customer;;;0,0
Customer;;0,0;
Customer;;;0,0
Customer;;;0,0
Customer;0,0;;
Customer;;;0,0
Customer;0,0;;
Customer;0,0;;
Customer;;0,0;
Customer;;0,0;
Customer;;;0,0
Customer;;;0,0
Customer;0,0;;
Customer;;0,0;
Customer;0,0;;
Customer;0,0;;
Customer;0,0;;
Customer;;0,0;
Deliver plate;;0,0;
Deliver plate;;;0,0
Deliver plate;0,0;;
Deliver plate;;;0,0
Deliver plate;;;0,0
Deliver plate;;0,0;
Deliver plate;;0,0;
Deliver plate;0,0;;
Deliver plate;;0,0;
Deliver plate;;0,0;
Deliver plate;;;0,0
Deliver plate;;;0,0
Deliver plate;;0,0;
Deliver plate;;0,0;
Deliver plate;;0,0;
Deliver plate;;;0,0
Deliver plate;;0,0;
Deliver plate;0,0;;
Deliver plate;;0,0;
Deliver plate;;0,0;
Deliver plate;;0,0;
Deliver plate;;;0,0
Deliver plate;;0,0;
